CustomerID,Age,Gender,AnnualIncome,PurchaseFrequency,AverageBasketSize,Region,LastPurchaseDate,TotalSpend
CUST0069,42,Male,132069,3,150.46,South,2024-01-22,451.38
CUST0070,42,Male,53256,3,23.51,West,2024-07-11,70.53
CUST0071,62,Male,131859,23,34.91,East,2024-03-31,802.93
CUST0072,52,Male,135273,9,372.0,South,2024-01-16,3348.0
CUST0073,58,Female,99971,22,330.63,North,2024-02-24,7273.86
CUST0074,33,Female,73498,8,276.38,West,2024-11-04,2211.04
CUST0075,31,Male,66196,18,158.58,East,2024-07-19,2854.44
CUST0076,42,Male,22015,8,492.97,North,2024-01-20,3943.76
CUST0077,33,Male,21537,2,164.89,East,2024-02-10,329.78
CUST0078,24,Female,66429,18,308.33,West,2024-05-27,5549.94
CUST0079,39,Female,33070,2,382.04,South,2024-09-01,764.08
CUST0080,60,Female,63997,19,250.67,East,2024-10-03,4762.73
CUST0081,40,Female,57774,22,300.55,West,2024-03-24,6612.1
CUST0082,29,Male,26880,12,236.16,West,2024-09-21,2833.92
CUST0083,30,Female,125480,2,85.5,South,2024-06-05,171.0
CUST0084,46,Male,92946,9,406.12,East,2024-10-13,3655.08
CUST0085,50,Male,24184,19,26.91,East,2024-10-30,511.29
CUST0086,33,Female,47582,6,125.18,South,2024-11-02,751.08
CUST0087,62,Male,69796,12,314.62,West,2024-08-14,3775.44
CUST0088,58,Female,146420,9,484.31,South,2024-07-16,4358.79
CUST0089,60,Female,42921,10,456.53,West,2023-11-29,4565.3
CUST0090,63,Male,110699,7,463.32,West,2023-12-09,3243.24
CUST0091,61,Male,22042,20,335.37,North,2024-03-13,6707.4
CUST0092,51,Female,127725,10,110.26,East,2024-03-21,1102.6
CUST0093,63,Male,147262,12,441.03,North,2024-04-06,5292.36
CUST0094,58,Female,63257,4,407.47,West,2024-06-05,1629.88
CUST0095,43,Female,136402,15,338.0,West,2024-04-13,5070.0
CUST0096,27,Male,26397,19,480.09,East,2024-10-07,9121.71
CUST0097,55,Female,46926,17,34.26,East,2024-10-31,582.42
CUST0098,18,Female,37487,8,197.55,South,2024-04-01,1580.4
CUST0099,36,Female,108474,20,462.71,South,2024-05-31,9254.2
CUST0100,41,Male,147963,4,447.16,West,2024-02-24,1788.64
CUST0101,21,Female,78103,14,423.87,East,2024-04-15,5934.18
CUST0102,47,Male,50278,1,81.76,South,2024-05-11,81.76
CUST0103,34,Male,145838,15,356.2,West,2023-12-12,5343.0
CUST0104,38,Female,149927,5,407.21,North,2024-03-31,2036.05
CUST0105,36,Female,72407,3,34.02,East,2023-12-12,102.06
CUST0106,32,Female,140827,20,172.29,West,2024-09-16,3445.8
CUST0107,33,Male,95916,7,386.87,East,2024-05-24,2708.09
CUST0108,35,Male,55795,16,258.16,South,2024-03-30,4130.56
CUST0109,43,Female,138934,7,361.84,North,2024-04-26,2532.88
CUST0110,64,Female,127244,5,358.54,South,2023-12-10,1792.7
CUST0111,60,Male,24311,24,273.12,West,2023-11-30,6554.88
CUST0112,35,Female,115333,5,494.48,West,2024-09-09,2472.4
CUST0113,50,Male,71607,10,353.03,North,2024-08-26,3530.3
CUST0114,35,Male,145615,12,363.44,South,2024-10-07,4361.28
CUST0115,59,Female,109593,15,78.27,East,2024-08-30,1174.05
CUST0116,34,Female,68762,18,408.98,East,2023-12-23,7361.64
CUST0117,59,Female,134886,17,98.1,North,2024-01-16,1667.7
CUST0118,44,Female,120829,5,342.59,West,2024-08-20,1712.95
CUST0119,30,Female,31399,22,475.02,South,2024-02-24,10450.44
CUST0120,48,Male,37467,24,221.6,North,2024-08-24,5318.4
CUST0121,35,Female,22203,13,182.19,North,2024-07-06,2368.47
CUST0122,35,Female,40389,11,149.45,West,2024-08-24,1643.95
CUST0123,34,Female,27820,11,194.73,North,2024-09-19,2142.03
CUST0124,18,Male,62660,1,457.27,West,2024-03-09,457.27
CUST0125,49,Male,98378,16,69.79,South,2024-02-14,1116.64
CUST0126,55,Male,62793,16,494.32,East,2024-05-01,7909.12
CUST0127,27,Female,50137,7,490.27,East,2024-02-25,3431.89
CUST0128,18,Female,90553,17,465.47,South,2023-12-21,7912.99
CUST0129,56,Male,116540,6,159.46,West,2024-05-14,956.76
CUST0130,40,Male,137855,3,257.71,South,2024-07-09,773.13
CUST0131,50,Male,36783,4,300.36,East,2023-12-07,1201.44
CUST0132,20,Female,120588,14,62.63,North,2024-07-10,876.82
CUST0133,21,Male,108321,19,187.17,South,2024-08-22,3556.23
CUST0134,49,Female,111801,16,128.26,East,2024-05-20,2052.16
CUST0135,53,Male,33547,16,408.06,North,2024-03-20,6528.96
CUST0136,45,Male,42687,14,81.63,South,2024-10-31,1142.82
CUST0137,36,Male,125038,12,221.99,North,2024-05-12,2663.88
CUST0138,31,Male,98469,13,105.92,North,2024-10-06,1376.96
CUST0139,61,Female,148526,5,242.32,East,2024-01-03,1211.6
CUST0140,47,Male,80398,20,394.68,West,2024-03-18,7893.6
CUST0141,63,Female,146579,20,456.71,North,2024-04-04,9134.2
CUST0142,29,Male,63300,24,366.12,East,2023-11-26,8786.88
CUST0143,40,Male,35839,7,333.5,South,2023-12-15,2334.5
CUST0144,55,Male,36218,13,310.07,North,2024-05-23,4030.91
CUST0145,29,Male,114099,23,91.37,West,2023-12-15,2101.51
CUST0146,39,Female,126442,19,310.41,South,2024-10-01,5897.79
CUST0147,51,Female,140096,10,157.86,South,2024-10-11,1578.6
CUST0148,49,Male,43540,13,445.03,East,2024-04-26,5785.39
CUST0149,61,Female,116542,2,136.15,West,2024-06-23,272.3
CUST0150,42,Female,89114,18,117.95,North,2023-11-28,2123.1
CUST0151,50,Male,31922,12,319.57,West,2024-09-16,3834.84
CUST0152,55,Female,134928,14,127.69,West,2024-05-20,1787.66
CUST0153,27,Female,116805,4,247.1,West,2024-06-04,988.4
CUST0154,58,Male,22841,20,377.49,West,2024-06-01,7549.8
CUST0155,55,Female,131965,1,194.45,North,2024-01-22,194.45
CUST0156,61,Female,113446,21,368.47,North,2024-03-30,7737.87
CUST0157,61,Male,126260,24,27.61,West,2024-07-06,662.64
CUST0158,44,Female,123935,8,259.62,West,2024-09-09,2076.96
CUST0159,25,Female,22338,5,413.52,East,2024-02-03,2067.6
CUST0160,26,Male,25015,17,351.39,South,2023-12-28,5973.63
CUST0161,39,Female,83932,19,34.56,South,2024-07-14,656.64
CUST0162,26,Male,116123,23,36.41,South,2024-04-20,837.43
CUST0163,46,Male,126607,8,382.85,South,2024-09-06,3062.8
CUST0164,63,Female,73757,21,118.3,North,2024-02-24,2484.3
CUST0165,48,Female,62654,17,136.53,East,2024-08-11,2321.01
CUST0166,43,Female,55567,8,440.49,West,2024-05-12,3523.92
CUST0167,43,Male,41753,22,434.65,West,2024-03-11,9562.3
CUST0168,32,Male,61976,20,150.86,North,2024-02-28,3017.2
CUST0169,35,Female,124617,10,284.94,East,2024-10-05,2849.4
CUST0170,39,Male,55223,16,465.86,East,2024-03-08,7453.76
CUST0171,31,Male,82761,16,169.39,South,2024-09-14,2710.24
CUST0172,59,Male,135104,10,117.4,North,2024-04-30,1174.0
CUST0173,51,Male,86543,7,465.18,North,2024-05-25,3256.26
CUST0174,22,Male,50860,17,204.97,South,2024-04-21,3484.49
CUST0175,41,Male,78703,20,481.18,South,2024-09-04,9623.6
CUST0176,48,Female,140095,22,279.27,North,2024-02-28,6143.94
CUST0177,46,Male,68628,17,184.2,West,2023-12-22,3131.4
CUST0178,57,Female,93208,10,124.76,South,2024-10-04,1247.6
CUST0179,45,Male,60167,21,263.39,South,2024-05-16,5531.19
CUST0180,57,Male,93273,22,307.43,East,2024-11-17,6763.46
CUST0181,27,Male,32210,2,350.85,East,2024-07-13,701.7
CUST0182,25,Female,136698,16,40.46,East,2024-02-13,647.36
CUST0183,40,Female,98215,7,26.01,South,2023-12-06,182.07
CUST0184,50,Male,129079,5,266.05,North,2024-10-19,1330.25
CUST0185,21,Female,52212,23,477.39,East,2024-08-01,10979.97
CUST0186,27,Male,133161,2,184.29,South,2024-06-02,368.58
CUST0187,30,Female,36466,19,279.69,West,2024-02-12,5314.11
CUST0188,22,Female,54584,24,107.82,North,2024-05-01,2587.68
CUST0189,48,Male,61900,2,348.81,South,2024-11-11,697.62
CUST0190,24,Male,110472,4,300.95,East,2024-06-11,1203.8
CUST0191,64,Female,38874,19,234.4,East,2024-09-17,4453.6
CUST0192,28,Male,117883,9,117.17,North,2024-02-28,1054.53
CUST0193,48,Female,29818,10,324.08,West,2024-11-17,3240.8
CUST0194,27,Male,116088,24,442.81,West,2024-03-05,10627.44
CUST0195,20,Male,137025,14,171.87,West,2024-01-29,2406.18
CUST0196,19,Male,31642,18,151.7,West,2024-05-24,2730.6
CUST0197,56,Male,70696,1,482.18,West,2024-04-01,482.18
CUST0198,60,Male,51563,15,52.27,South,2024-02-20,784.05
CUST0199,31,Male,61818,9,31.73,South,2024-03-16,285.57
CUST0200,29,Female,124369,6,101.13,North,2024-07-05,606.78
CUST0201,23,Male,101092,17,175.88,West,2024-02-12,2989.96
CUST0202,47,Male,67523,9,239.98,North,2024-05-03,2159.82
CUST0203,38,Male,80853,17,103.1,East,2024-09-23,1752.7
CUST0204,60,Male,108853,1,181.63,West,2024-05-02,181.63
CUST0205,52,Female,43340,7,316.59,North,2024-07-12,2216.13
CUST0206,58,Female,99245,20,259.43,North,2024-03-21,5188.6
CUST0207,64,Female,102779,19,166.69,West,2024-08-26,3167.11
CUST0208,50,Female,82412,20,307.51,North,2024-03-27,6150.2
CUST0209,48,Female,78594,23,40.06,North,2024-10-21,921.38
CUST0210,40,Female,116239,12,291.98,West,2024-01-04,3503.76
CUST0211,23,Female,116170,20,244.18,South,2024-11-15,4883.6
CUST0212,63,Female,132731,1,148.18,East,2024-01-30,148.18
CUST0213,36,Female,136735,10,155.93,East,2024-05-06,1559.3
CUST0214,62,Female,120726,12,310.97,East,2024-09-20,3731.64
CUST0215,19,Female,39561,23,147.67,North,2024-09-02,3396.41
CUST0216,61,Male,63246,21,142.55,West,2024-05-31,2993.55
CUST0217,31,Male,141172,1,39.96,West,2024-10-12,39.96
CUST0218,36,Male,66164,15,33.59,West,2024-04-30,503.85
CUST0219,45,Male,67792,17,298.79,South,2024-03-31,5079.43
CUST0220,37,Male,105198,17,207.5,South,2023-12-20,3527.5
CUST0221,55,Male,22424,9,72.57,South,2024-08-16,653.13
CUST0222,25,Male,71436,17,64.57,South,2024-06-03,1097.69
CUST0223,42,Female,38668,22,318.07,South,2023-12-14,6997.54
CUST0224,57,Male,83049,19,249.56,East,2024-04-06,4741.64
CUST0225,33,Male,98954,20,376.73,West,2024-02-29,7534.6
CUST0226,24,Male,139330,5,170.2,South,2024-03-20,851.0
CUST0227,62,Male,28187,13,460.58,South,2024-08-10,5987.54
CUST0228,27,Female,21279,11,54.44,West,2024-07-18,598.84
CUST0229,18,Male,56296,20,396.68,West,2024-11-14,7933.6
CUST0230,62,Male,134539,3,486.94,East,2023-11-24,1460.82
CUST0231,22,Male,21165,1,262.26,West,2023-12-28,262.26
CUST0232,32,Male,21237,17,39.41,North,2024-04-01,669.97
CUST0233,63,Female,143016,2,257.67,West,2024-03-12,515.34
CUST0234,22,Male,41005,17,115.61,North,2023-12-15,1965.37
CUST0235,24,Male,55312,24,139.37,South,2024-05-01,3344.88
CUST0236,60,Male,69274,18,256.51,East,2024-03-11,4617.18
CUST0237,27,Female,148921,11,308.64,South,2024-02-08,3395.04
CUST0238,62,Female,111351,23,218.4,North,2024-08-19,5023.2
CUST0239,54,Female,84314,19,254.09,East,2024-08-06,4827.71
CUST0240,44,Male,133060,10,328.87,North,2024-03-02,3288.7
CUST0241,56,Male,55488,1,383.98,South,2024-03-29,383.98
CUST0242,38,Female,122323,22,430.14,South,2024-07-16,9463.08
CUST0243,27,Female,71847,2,445.61,East,2024-07-02,891.22
CUST0244,58,Female,36372,20,183.62,East,2024-04-21,3672.4
CUST0245,34,Female,84692,12,438.75,West,2024-10-15,5265.0
CUST0246,29,Female,43505,1,124.76,North,2024-04-28,124.76
CUST0247,57,Male,109444,12,193.99,North,2024-09-24,2327.88
CUST0248,35,Male,148204,23,264.56,North,2024-08-22,6084.88
CUST0249,57,Female,129598,14,171.91,West,2024-04-04,2406.74
CUST0250,51,Male,24212,5,490.84,North,2024-01-24,2454.2
CUST0251,29,Male,65132,9,456.79,East,2024-06-25,4111.11
CUST0252,32,Female,138082,1,298.45,East,2024-07-19,298.45
CUST0253,60,Female,73200,16,260.86,North,2024-09-28,4173.76
CUST0254,33,Male,67642,10,275.64,East,2024-02-21,2756.4
CUST0255,39,Male,50321,13,59.75,North,2024-04-12,776.75
CUST0256,23,Male,102214,2,108.0,North,2023-12-15,216.0
CUST0257,31,Female,97509,24,426.66,North,2024-07-11,10239.84
CUST0258,58,Male,145708,2,111.63,East,2024-06-09,223.26
CUST0259,21,Female,42752,3,222.76,East,2024-03-16,668.28
CUST0260,49,Female,140130,8,90.1,East,2024-08-28,720.8
CUST0261,30,Male,113405,7,476.25,North,2024-03-20,3333.75
CUST0262,41,Female,93472,7,54.59,South,2024-09-15,382.13
CUST0263,35,Male,23948,8,30.2,North,2024-03-25,241.6
CUST0264,47,Female,27055,22,44.14,East,2024-06-10,971.08
CUST0265,23,Female,47518,12,213.75,East,2024-03-06,2565.0
CUST0266,38,Female,24521,18,29.45,North,2024-05-12,530.1
CUST0267,23,Male,74660,14,41.28,East,2023-12-28,577.92
CUST0268,62,Female,133715,16,473.11,South,2024-04-10,7569.76
CUST0269,24,Male,136472,10,49.73,East,2023-12-14,497.3
CUST0270,58,Male,28631,21,337.65,East,2024-06-06,7090.65
CUST0271,34,Male,83014,3,322.04,South,2024-10-22,966.12
CUST0272,28,Female,117210,7,353.37,North,2024-01-11,2473.59
CUST0273,22,Male,20377,6,221.02,East,2024-08-10,1326.12
CUST0274,40,Female,123608,15,493.38,East,2024-10-05,7400.7
CUST0275,37,Male,148173,23,163.87,West,2024-10-17,3769.01
CUST0276,39,Male,54287,15,133.63,South,2024-01-05,2004.45
CUST0277,27,Male,84792,3,426.35,North,2024-06-07,1279.05
CUST0278,53,Male,147975,20,231.2,East,2024-03-24,4624.0
CUST0279,53,Male,63388,24,330.01,South,2024-08-20,7920.24
CUST0280,29,Female,148140,10,143.4,South,2024-10-17,1434.0
CUST0281,59,Male,55947,23,362.11,South,2024-08-05,8328.53
CUST0282,36,Male,62841,15,134.76,North,2024-07-26,2021.4
CUST0283,37,Female,67724,11,308.77,East,2024-04-24,3396.47
CUST0284,59,Male,132695,6,463.76,North,2024-01-29,2782.56
CUST0285,35,Male,25135,8,249.29,West,2024-01-03,1994.32
CUST0286,28,Female,122441,5,191.97,West,2024-08-22,959.85
CUST0287,54,Male,100039,8,322.26,South,2023-12-30,2578.08
CUST0288,18,Female,79299,12,194.66,North,2024-07-31,2335.92
CUST0289,48,Male,95739,10,467.37,East,2024-07-05,4673.7
CUST0290,39,Male,138536,20,422.92,East,2024-11-09,8458.4
CUST0291,50,Female,100194,9,324.96,South,2024-10-09,2924.64
CUST0292,60,Female,121101,23,154.27,North,2024-08-07,3548.21
CUST0293,58,Female,61861,19,202.23,East,2024-02-16,3842.37
CUST0294,35,Male,25272,4,152.56,East,2024-08-16,610.24
CUST0295,31,Female,75079,12,136.13,East,2023-12-18,1633.56
CUST0296,21,Female,31284,6,112.13,South,2024-10-24,672.78
CUST0297,49,Male,67081,10,458.71,West,2024-11-13,4587.1
CUST0298,50,Female,97173,2,492.87,North,2024-07-15,985.74
CUST0299,50,Female,50111,15,290.52,North,2024-05-11,4357.8
CUST0300,56,Female,119163,6,286.01,South,2024-10-08,1716.06
CUST0301,55,Male,75440,14,495.56,East,2024-08-12,6937.84
CUST0302,33,Male,74950,2,492.98,West,2024-09-27,985.96
CUST0303,57,Female,119739,18,441.69,East,2024-11-08,7950.42
CUST0304,38,Male,84604,14,342.01,South,2023-12-28,4788.14
CUST0305,49,Male,74739,10,444.84,West,2024-08-08,4448.4
CUST0306,43,Female,83284,13,264.19,West,2024-02-17,3434.47
CUST0307,18,Female,88257,12,348.51,South,2024-02-22,4182.12
CUST0308,50,Female,142496,17,431.88,South,2024-05-04,7341.96
CUST0309,43,Female,131033,7,444.49,North,2024-11-16,3111.43
CUST0310,20,Female,120313,21,69.82,West,2024-06-01,1466.22
CUST0311,48,Female,82670,2,63.75,North,2023-12-30,127.5
CUST0312,35,Female,148718,1,213.15,North,2024-01-27,213.15
CUST0313,24,Male,134740,11,367.12,North,2024-01-11,4038.32
CUST0314,40,Male,114914,11,109.86,South,2024-05-24,1208.46
CUST0315,47,Female,70226,1,106.62,South,2023-12-28,106.62
CUST0316,60,Male,49030,7,445.17,East,2024-05-30,3116.19
CUST0317,25,Male,52026,24,294.88,North,2024-10-06,7077.12
CUST0318,46,Female,53044,20,161.52,North,2024-10-08,3230.4
CUST0319,37,Male,69182,7,44.15,South,2024-04-13,309.05
CUST0320,18,Female,34636,9,237.59,North,2024-06-23,2138.31
CUST0321,25,Male,62607,11,223.81,West,2024-04-22,2461.91
CUST0322,47,Female,90326,15,432.54,West,2024-10-20,6488.1
CUST0323,60,Male,141531,5,90.51,South,2023-11-26,452.55
CUST0324,41,Female,58855,23,193.84,West,2023-12-23,4458.32
CUST0325,34,Male,31695,22,321.06,West,2024-10-05,7063.32
CUST0326,20,Female,68832,19,484.35,North,2024-07-02,9202.65
CUST0327,52,Female,110610,16,154.5,East,2024-11-01,2472.0
CUST0328,30,Female,74188,13,330.1,North,2024-03-12,4291.3
CUST0329,28,Female,72165,22,228.54,South,2024-05-11,5027.88
CUST0330,33,Female,28589,18,193.19,South,2024-06-03,3477.42
CUST0331,50,Female,102177,11,234.58,West,2024-08-26,2580.38
CUST0332,23,Female,55539,7,459.42,East,2024-02-01,3215.94
CUST0333,45,Female,139496,1,165.58,North,2023-11-30,165.58
CUST0334,34,Female,30722,5,167.36,East,2023-12-12,836.8
CUST0335,23,Female,50645,15,445.45,North,2023-11-30,6681.75
CUST0336,37,Female,92004,19,114.57,West,2024-04-08,2176.83
CUST0337,29,Female,72852,20,485.39,North,2024-03-04,9707.8
CUST0338,60,Female,141173,18,236.03,South,2024-09-13,4248.54
CUST0339,56,Male,64882,11,81.92,West,2024-03-24,901.12
CUST0340,25,Female,25997,8,74.13,West,2024-06-27,593.04
CUST0341,42,Male,121891,9,415.24,North,2024-10-18,3737.16
CUST0342,50,Male,102596,5,38.81,South,2024-08-13,194.05
CUST0343,59,Male,141473,14,220.42,North,2024-09-06,3085.88
CUST0344,56,Female,85157,24,23.53,West,2024-09-15,564.72
CUST0345,64,Male,49226,2,144.11,South,2024-06-18,288.22
CUST0346,45,Female,31800,8,253.13,North,2024-06-08,2025.04
CUST0347,63,Female,128239,24,234.25,North,2024-09-27,5622.0
CUST0348,18,Male,56832,1,397.21,East,2024-01-22,397.21
CUST0349,44,Female,23610,24,330.46,South,2024-03-18,7931.04
CUST0350,27,Male,28464,19,283.77,East,2024-06-03,5391.63
CUST0351,45,Male,104516,17,185.91,West,2024-03-13,3160.47
CUST0352,44,Male,67301,12,270.65,North,2024-08-11,3247.8
CUST0353,60,Male,137937,10,196.06,South,2024-02-02,1960.6
CUST0354,41,Female,53490,8,378.66,East,2023-12-19,3029.28
CUST0355,43,Female,118536,24,331.15,South,2023-12-26,7947.6
CUST0356,37,Male,90592,23,454.76,North,2024-03-21,10459.48
CUST0357,58,Male,147381,19,288.65,East,2024-06-12,5484.35
CUST0358,51,Male,121586,9,224.04,South,2024-08-01,2016.36
CUST0359,30,Male,48282,2,75.05,East,2024-03-14,150.1
CUST0360,29,Male,125471,12,292.9,East,2024-05-13,3514.8
CUST0361,47,Male,37186,14,216.22,East,2024-08-15,3027.08
CUST0362,48,Female,89135,14,366.99,East,2024-03-26,5137.86
CUST0363,49,Female,66522,18,148.09,East,2024-10-08,2665.62
CUST0364,46,Female,49435,4,393.12,West,2024-01-18,1572.48
CUST0365,55,Female,84036,3,65.48,North,2024-08-25,196.44
CUST0366,33,Male,103130,8,151.47,East,2023-11-29,1211.76
CUST0367,38,Male,94207,22,80.73,East,2024-04-22,1776.06
CUST0368,39,Female,65213,14,223.83,North,2024-10-30,3133.62
CUST0369,38,Male,143318,6,99.09,South,2024-06-30,594.54
CUST0370,53,Female,136394,1,333.2,South,2024-01-21,333.2
CUST0371,64,Male,76970,21,45.25,West,2024-03-30,950.25
CUST0372,64,Male,36210,2,252.56,South,2024-02-07,505.12
CUST0373,63,Female,48752,15,25.43,West,2024-07-26,381.45
CUST0374,48,Female,146506,6,377.93,South,2024-04-05,2267.58
CUST0375,38,Female,70354,20,54.41,North,2024-05-13,1088.2
CUST0376,38,Female,92448,20,253.74,North,2024-05-24,5074.8
CUST0377,51,Male,127038,4,117.53,South,2024-07-27,470.12
CUST0378,20,Male,68855,14,82.13,North,2024-08-17,1149.82
CUST0379,51,Male,75874,17,159.35,East,2024-05-06,2708.95
CUST0380,51,Female,113781,16,221.84,North,2024-01-18,3549.44
CUST0381,52,Female,40709,21,51.32,West,2024-07-10,1077.72
CUST0382,30,Female,28113,7,153.94,North,2024-07-24,1077.58
CUST0383,62,Female,140676,6,337.4,East,2024-06-16,2024.4
CUST0384,36,Male,66593,3,87.85,East,2024-02-27,263.55
CUST0385,64,Female,88487,8,362.2,West,2024-01-04,2897.6
CUST0386,31,Female,129144,10,125.92,West,2024-07-31,1259.2
CUST0387,20,Male,126668,19,310.47,South,2024-09-22,5898.93
CUST0388,55,Male,97758,6,180.28,North,2024-09-03,1081.68
CUST0389,49,Male,59225,8,492.65,South,2024-10-03,3941.2
CUST0390,35,Female,72589,17,229.81,East,2024-06-25,3906.77
CUST0391,41,Female,129863,1,185.3,South,2024-09-25,185.3
CUST0392,35,Male,60404,1,150.54,West,2023-12-16,150.54
CUST0393,51,Male,96237,6,189.33,East,2023-11-24,1135.98
CUST0394,28,Male,75124,4,42.26,West,2024-06-15,169.04
CUST0395,33,Female,28706,24,62.38,East,2024-09-15,1497.12
CUST0396,33,Male,104119,23,301.03,West,2024-01-31,6923.69
CUST0397,34,Male,134488,24,229.0,East,2023-12-30,5496.0
CUST0398,56,Female,121390,3,436.11,South,2023-11-25,1308.33
CUST0399,44,Male,143173,2,329.38,West,2024-11-01,658.76
CUST0400,20,Male,131997,23,84.63,North,2024-06-10,1946.49
CUST0401,24,Male,63341,18,308.51,East,2024-11-06,5553.18
CUST0402,51,Female,81918,23,337.13,East,2023-12-17,7753.99
CUST0403,23,Female,22712,14,313.27,South,2024-10-08,4385.78
CUST0404,26,Male,122162,13,155.79,West,2024-04-30,2025.27
CUST0405,47,Female,109830,20,201.52,West,2023-12-21,4030.4
CUST0406,37,Female,140369,16,147.52,South,2024-03-13,2360.32
CUST0407,43,Female,131993,8,403.54,East,2024-07-03,3228.32
CUST0408,33,Male,48836,24,41.15,West,2024-01-12,987.6
CUST0409,53,Male,63030,3,137.06,South,2024-02-02,411.18
CUST0410,50,Male,97754,8,24.25,West,2024-08-03,194.0
CUST0411,36,Female,59995,3,180.48,West,2024-11-17,541.44
